context,question,answer,hallucination
"Roads is the debut studio album by American recording artist Chris Mann, released on October 30, 2012, by Universal Republic. Mann participated in the season two of the singing reality show ""The Voice"", ultimately placing fourth, but being the first of the second season to release an album.Christopher Michael ""Chris"" Mann (born May 5, 1982) is a classically trained American singer-songwriter from Wichita, Kansas.","Which American singer-songwriter from Wichita, Kansas participated in the season two of ""The Voice"".","Mann was a judge on ""The Voice.""",yes
"Gaoyao, formerly romanized as Koyiu, is an urban district of Zhaoqing in western Guangdong, China.Malipo County (麻栗坡县; pinyin: Málìpō Xiàn, Vietnamese: ""Ma Lật Pha"" ) is located in Wenshan Zhuang and Miao Autonomous Prefecture, Yunnan province, China.",Are Gaoyao District and Malipo County in the same country?,yes,no
"Fine Young Cannibals were a British band formed in Birmingham, England in 1984, by bassist David Steele, guitarist Andy Cox (both formerly of The Beat), and singer Roland Gift (formerly of the Akrylykz).Kent was a Swedish rock band that formed in Eskilstuna, Sweden in 1990. With members Joakim Berg, Martin Sköld, Sami Sirviö and Markus Mustonen, the band has had numerous radio hits throughout Sweden and Scandinavia and consecutive number-one studio albums on the Sweden top list (Sverigetopplistan) beginning with the release of ""Verkligen"" (1996) and led by the single ""Kräm (så nära får ingen gå)"". With eleven number-one albums, five number-one singles, 23 Swedish Grammy Awards, and over 3 million record sales, Kent is considered the most popular rock/pop group within Sweden and throughout Scandinavia. "" Kent is often compared to bands like U2, Coldplay and Depeche Mode.","Which band has more members, Fine Young Cannibals or Kent?",Fine Young Cannibals has more members than Kent.,yes
"The 2010 Washington Huskies football team represented the University of Washington in the 2010 NCAA Division I FBS football season. The team's head coach was Steve Sarkisian.Stephen Ambrose Sarkisian (born March 8, 1974) is an American football coach and former player who is currently the offensive coordinator for the Atlanta Falcons of the National Football League (NFL).",What NFL team does the 2010 Washington Huskies head coach work for?,Stephen Ambrose Sarkisian is with Atlanta.,yes
" His roles include young Tarzan in the film ""Tarzan 2"", Boots on ""Dora the Explorer"" (2000-2007) and ""Go, Diego, Go! is an American animated educational interactive children's television program that originally aired on the Nickelodeon children's cable network in the United States and produced by Nickelodeon Animation Studio. Created and executive produced by Chris Gifford and Valerie Walsh, the series is a spin-off of ""Dora the Explorer"" and follows Dora's cousin Diego, an 8-year-old boy whose adventures frequently involve rescuing animals and protecting their environment.","In which American animated educational interactive children's television program,  created and executive produced by Chris Gifford and Valerie Walsh, did Harrison Chad have a role?","""Go, Diego, Go!",no
"Robert Alan Durst (born April 12, 1943) is an American real estate heir, the son of New York City mogul Seymour Durst, and the elder brother of Douglas Durst, head of the Durst Organization. He is primarily known for being suspected of foul play against three individuals in different states: Kathleen McCormack Durst, his first wife, who disappeared in New York in 1982; Susan Berman, his longtime friend, who was murdered in California in 2000; and his neighbor, Morris Black, who was murdered in Texas in 2001.Susan Jane Berman (May 18, 1945 – December 24, 2000) was an American journalist, author, and the daughter of Davie ""Davie the Jew"" Berman, a Las Vegas mob figure.","What journalist was both the daughter of a Las Vegas mob figure, as well as suspected victim of real estate heir Robert Durst?",The daughter of a Las Vegas mob figure who was also a journalist and victim of Robert Durst was Susan Berman.,yes
" He recently associate produced (and acted in) ""The Professor"" starring Betsy Brandt and Rick Peters. She portrayed Marie Schrader in ""Breaking Bad"" and co-stars in the CBS sitcom ""Life in Pieces"".","What ""Breaking Bad"" actress also stars in a film associate produced by Nick Sakai?","Betsy Brandt starred in ""The Professor"" alone.",yes
"A major subset of the ""Discworld"" novels of Terry Pratchett involves the witches of Lancre.Sir Terence David John Pratchett, OBE (28 April 1948 – 12 March 2015), better known as Terry Pratchett, was an English author of fantasy novels, especially comical works. He is best known for his Discworld series of 41 novels. Pratchett's first novel, ""The Carpet People"", was published in 1971. His final Discworld novel, ""The Shepherd's Crown"", was published in August 2015, five months after his death.","What English author is known for a long series of novels that first started in 1971 and ended in 2015, where a portion of the novels focus on witches?","The famous author of the Discworld series, including his first novel ""The Carpet People,"" is Terry Pratchett, who is also known for his works on werewolves.",yes
" He is known for playing Wyman Norris in ""Auf Wiedersehen, Pet"" and Mickey Smith in ""Doctor Who"".Auf Wiedersehen, Pet (] , ""Goodbye, Pet"") is a British comedy-drama television programme about seven British migrant construction workers.",Noel Clarke is known for playing Wyman in what British comedy-drama television show about seven British migrant construction workers,"Auf Wiedersehen, Pet",no
"Eighteenth Street Lounge Music (ESL Music) is an independent record label based in Washington, D.C. founded by Rob Garza and Eric Hilton in 1996.Eric Michael Hilton (July 1, 1933 – December 10, 2016) was an American heir, hotelier, and philanthropist.","Who did Eric Hilton found ESL Music, the independent record label in Washington DC, with?",Rob Garza,no
"Arne Nordheim (20 June 1931 – 5 June 2010) was a Norwegian composer. Nordheim received numerous awards for his compositions, and from 1982 lived in the Norwegian government's honorary residence, Grotten, next to the Royal Palace in Oslo.Oslo ( , , ] ] ] ) is the capital and the most populous city in Norway.","A Norwegian composer who received numerous awards, lived in what residence that is located in the capital of Norway?",Grotten,no
"Barbara ""Barb"" Dutton Henrickson is a character on HBO's ""Big Love"" portrayed by Jeanne Tripplehorn.Jeanne Marie Tripplehorn (born June 10, 1963) is an American film and television actress.","What American actress portrays Barbara ""Barb"" Dutton Henrickson is a character on HBO's ""Big Love""?",Barbara Henrickson is played by Jeanne.,yes
"Henry Huggins is the first book in the Henry Huggins series of children's novels, written by Beverly Cleary. It has been translated into Bulgarian, Chinese, Danish, Dutch, Finnish, German, Hebrew, Japanese, Norwegian, Spanish, and Swedish, and published as audiobooks read by Barbara Caruso and Neil Patrick Harris.Neil Patrick Harris (born June 15, 1973) is an American actor, comedian, magician, and singer, known primarily for his comedy roles on television and his dramatic and musical stage roles. On television, he is known for playing the title character on ""Doogie Howser, M.D."" (1989–1993), Barney Stinson on ""How I Met Your Mother"" (2005–2014, for which he was nominated for four Emmy Awards), and Count Olaf on ""A Series of Unfortunate Events"" (2017 onward).",Henry Huggins has been published as an audiobook read by an American actor known for playing Barney Stinson on what television series?,Neil Patrick Harris starred in the television series Friends.,yes
"San Andreas is a 2015 American disaster film directed by Brad Peyton and written by Carlton Cuse, with Andre Fabrizio and Jeremy Passmore receiving story credit. The film stars Dwayne Johnson, Carla Gugino, Alexandra Daddario, Ioan Gruffudd, Archie Panjabi, and Paul Giamatti.Archana ""Archie"" Panjabi (born 31 May 1972) is a British actress, best known for her role as Kalinda Sharma on ""The Good Wife"".","When was British actress, best known for her role as Kalinda Sharma on The Good Wife, who also starred in the 2015 American disaster film San Andreas, born?",born 31 May 1972,no
" He was earlier noted for ""The Story of Philosophy"" (1926), described as ""a groundbreaking work that helped to popularize philosophy"".The Story of Philosophy: The Lives and Opinions of the Greater Philosophers is a 1926 book by Will Durant, in which he profiles several prominent Western philosophers and their ideas, beginning with Socrates and Plato and on through Friedrich Nietzsche.",Will Durant wrote a book in 1926 about what subject?,Will Durant wrote a book in 1926 about the history of ancient philosophy.,yes
"Tartit (meaning ""union"") are a band from the Tombouctou Region of Mali. They formed in 1992 in a refugee camp in Mauritania.Mauritania ( ; Arabic: موريتانيا‎ ‎ ""Mūrītānyā ""; Berber: or Agawej ; Wolof: ""Gànnaar"" ; Soninke: ""Murutaane""; Pulaar: ""Moritani""; French: ""Mauritanie"" ), officially the Islamic Republic of Mauritania, is a country in the Maghreb region of western Africa.","In what region of Africa is the country where the  Tartit (meaning ""union""), band from the Tombouctou Region were formed located?",west,no
" It is located entirely in Washington and runs from SR 17 to SR 105.Washington, officially the Town of Washington, is a town in Knox County, Maine.",In what county can Maine State Route 206 be found?,Maine State Route 206 does not exist.,yes
" Its original choreography was by Michel Fokine, with music by Frédéric Chopin orchestrated by Alexander Glazunov.Michael Fokine (a French transliteration Michel Fokine; English transliteration Mikhail Fokin; Russian: Михаи́л Миха́йлович Фо́кин , ""Mikhaíl Mikháylovich Fokín"") (23 April [O.S. 11 April] 1880 – 22 August 1942) was a groundbreaking Russian choreographer and dancer.",What is the name of the person who helped work on Les Sylphides and past away 22 August 1942?,The creator of Les Sylphides was Alexander Glazunov.,yes
"""Alarm Call"" is a song recorded by Icelandic singer Björk for her third studio album ""Homogenic"" (1997). ""Homogenic"" was originally to be produced in her home in London, but was later recorded in Spain.","What Icelandic singer recorded the song ""Alarm Call"" from the album ""Homogenic"" that was produced in London and recorded in Spain?","The song ""Alarm Call"" from the album ""Homogenic"" was recorded by Icelandic singer Björk in Sweden.",yes
"Clarkrange is an unincorporated community and census-designated place (CDP) in Fentress County, Tennessee, United States. It is concentrated around the intersection of U.S. Route 127 and Tennessee State Route 62, in Tennessee's western Cumberland Plateau region. Since 1987, it has been the core of the annual World's Longest Yard Sale, also known as the Highway 127 Corridor Sale (127 Yard Sale), which now stretches 690 mi from Addison, Michigan, to Gadsden, Alabama.",What unincorporated community is concentrated around the intersection of Tennessee State Route 62 and the highway that is the core of the annual World's Longest Yard Sale?,The unincorporated community of Clarkrange is concentrated around the intersection of Tennessee State Route 62 and the Highway 100.,yes
The Hubble sequence is a morphological classification scheme for galaxies invented by Edwin Hubble in 1926. He played a crucial role in establishing the fields of extragalactic astronomy and observational cosmology and is regarded as one of the most important astronomers of all time.,"Who is regarded as one of the most important astronomers of all time, and invented a morphological classification scheme for galaxies?",Galileo Galilei was the most important astronomer in history and invented the Hubble sequence.,yes
"""Timber!"" is a song recorded by the Bee Gees, written by Barry Gibb.Barry Alan Crompton Gibb, {'1': "", '2': "", '3': "", '4': ""} (born 1 September 1946) is a singer, songwriter, musician, and record producer who rose to worldwide fame as a co-founder of the group Bee Gees, one of the most commercially successful and critically acclaimed groups in the history of popular music, with his brothers, Robin and Maurice Gibb.","Timber! was written by a singer who had a group with his brothers, Robin and who?","Timber! was written by a singer who had a group with his brothers, Robin and Barry.",yes
" Other fighters profiled in the book include Tunney Hunsaker, Jean Pierre Coopman, Henry Cooper, Ron Lyle, Chuck Wepner, George Chuvalo and Larry Holmes. Chuvalo, who is considered by many to have one of the best chins in boxing history, was never knocked down in his amateur career or his 93-fight professional career and was ranked #4 on ESPN's greatest chin in boxing history list.",What fighter profiled in Facing Ali was considered to have one of the best chins in boxing history?,George Chuvalo,no
" Some notable NHL stars of African-American descent are Dustin Byfuglien, Evander Kane, and Joel Ward.Evander Frank Kane (born August 2, 1991) is a Canadian professional ice hockey left winger currently playing for the Buffalo Sabres of the National Hockey League (NHL).",What Hockey team does Evander Kane play for?,Evander Kane plays for Sabres.,yes
"""Follow That Egg!"" The 135th overall episode, it originally aired on Comedy Central in the United States on November 2, 2005.Season nine of ""South Park"", an American animated television series created by Trey Parker and Matt Stone, began airing on March 9, 2005.",What is the name of the 135th episode of the series created by Parker and Stone?,"The 135th episode of the show is called ""Egg-cellent Adventure!""",yes
" It contains cover versions of Frank Sinatra's ""My Way"" and Norman Greenbaum's ""Spirit in the Sky"".""My Way"" is a song popularized in 1969 by Frank Sinatra.","Ekstasy by Nina Hagen contains cover songs by Norman Greenbaum and which other Italian artist who popularized the song ""My Way?""",Frank Sinatra,no
"Yiyang () is a prefecture-level city on the Zi River in Hunan province, People's Republic of China, straddling Lake Dongting and bordering Hubei to the north. It is home to one of China's largest Zhuang populations.",What country are both Yiyang and Chongzuo located in?,"Yiyang is located in China, not Chongzuo.",yes
"Gaius Caesar (20BC – 21 February 4AD), formally Gaius Julius Caesar (Latin: ""Caius Caesar Augustus filius""), was the adopted son and heir of Augustus. His name at birth was Gaius Vipsanius Agrippa, but it later changed to Gaius Julius Caesar, following his adoption out of the ""Vipsanii"" and into the ""Julii"" by Augustus.Augustus (Latin: ""Imperātor Caesar Dīvī Fīlius Augustus"" ; 23 September 63 BC – 19 August 14 AD) was the founder of the Roman Principate and considered the first Roman emperor, controlling the Roman Empire from 27 BC until his death in AD 14.",The adopted son and heir of the founder of the Roman Principate was given what name at birth?,Gaius Caesar was actually a twin.,yes
"""You're All I Need"" is a song by American heavy metal band Mötley Crüe. It was released as the third and final single from the band's 1987 album ""Girls, Girls, Girls"".Girls, Girls, Girls is the fourth studio album by American heavy metal band Mötley Crüe, released on May 15, 1987.","In which month was this album containing the song ""You're All I Need"" by American heavy metal band Mötley Crüe released?",May,no
" Krofft Productions remade the series in 1991, also titled ""Land of the Lost"", and a big budget film adaptation was released in 2009.Land of the Lost is a half-hour Saturday-morning children's series that debuted on ABC in the fall of 1991.",What title did Krofft Productions give the remake of their half-hour Saturday-morning children's series?,Land of the Lost,no
" was a nighttime spectacular at Disneyland Park in Disneyland Paris.Disneyland Park, originally Euro Disney, is a theme park found at Disneyland Paris in Marne-la-Vallée, France.","Disney Dreams!, was a nighttime spectacular at Disneyland Park in Disneyland Paris, in Marne-la-Vallée, in which country?",Euro Disney was found in Canada.,yes
" He was a member of the Permanent Council, activist of the Commission of National Education, physiocrat and a vivid supporter of the Targowica Confederation.The Commission of National Education (Polish: ""Komisja Edukacji Narodowej"" , abbreviated KEN, Lithuanian: ""Edukacinė komisija"" , Belarusian: Адукацыйная камісія ) was the central educational authority in the Polish–Lithuanian Commonwealth, created by the Sejm and the King Stanisław August Poniatowski on October 14, 1773.",Joachim Chreptowicz was an activist of what educational authority in the Polish-Lithuanian commonwealth?,Commission of National Education,no
"Auschwitz and After (""Auschwitz, et après"") is a first person account of life and survival in Birkenau by Charlotte Delbo, translated into English by Rose C. Lamont.Auschwitz concentration camp (German: ""Konzentrationslager Auschwitz"" , ] , also ""KZ Auschwitz "" or ""KL Auschwitz "") was a network of German Nazi concentration camps and extermination camps built and operated by the Third Reich in Polish areas annexed by Nazi Germany during World War II.",Auschwitz and After is based life and survival in what network of German Nazi concentration and extermination camps operated by the Third Reich in World War II?,Auschwitz concentration camp,no
" Because of this, the boot is endorsed by many players for whom speed is part of their game, notably wingers or strikers, such as Cristiano Ronaldo, Franck Ribéry, Luiz Adriano, Zlatan Ibrahimović, Didier Drogba, Jesús Navas, Luka Modrić, Arturo Vidal, Douglas Costa, Xherdan Shaqiri, Raheem Sterling, Stephan El Shaarawy, Eden Hazard, Alexis Sánchez, Carlos Bacca and Philippe Coutinho, among others.Jesús Navas González (] ; born 21 November 1985) is a Spanish professional footballer who plays as a right winger for Sevilla FC and the Spain national team.",Which Spanish footballer playing as right wing for Sevilla FC has endorsed the Nike Mercurial Vapor ?,Sevilla FC's right-wing player named Jesús Navas has not endorsed the Nike Mercurial Vapor.,yes
" He is best known for his leading roles in ""Memories of Murder"" (2003) and ""May 18"" (2007).May 18 (; lit.","Kim Sang-kyung (born June 1, 1972) is a South Korean actor, he's  best known for his leading roles in which South Korean film, released in 2007?",May 18,no
"American singer-songwriter Taylor Swift has released four video albums and has appeared in thirty-eight music videos, five films and three television shows. From her eponymous debut album (2006), she released music videos for the singles ""Tim McGraw"", ""Teardrops on My Guitar"", ""Our Song"", and ""Picture to Burn"", all directed by Trey Fanjoy and released from 2006–08.""Teardrops on My Guitar"" is a song by American singer-songwriter Taylor Swift. The song was co-written by Swift, alongside Liz Rose and produced by Nathan Chapman with Swift's aid.","Who was the producer of Teardrops on My Guitar, a song of Taylor Swift's eponymous debut album (2006)?",Trey Fanjoy was the producer.,yes
"Monster House (not to be confused with the film of the same name) is a Discovery Channel television program that documented the themed remodeling of a residence in a five-day time frame. The film stars Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Nick Cannon, Maggie Gyllenhaal, Jon Heder, Kevin James, Jason Lee, Catherine O'Hara, Kathleen Turner, and Fred Willard.",Who starred in the that is always confused with a Discovery Channel television program that documented the themed remodeling of a residence in a five-day time frame,Mitchel Musso,no
" They live in a variety of freshwater habitats, and were first reported by Antonie van Leeuwenhoek in 1700. A largely self-taught man in science, he is commonly known as ""the Father of Microbiology"", and often considered to be the first acknowledged microscopist and microbiologist.",The scientist who first reported Volvox was commonly known by what title name?,"""the Father of Microbiology""",no
" At the beginning of his career, he appeared in West End theatre productions of ""Cymbeline"" (2007) and ""Ivanov"" (2008).Cymbeline , also known as Cymbeline, King of Britain, is a play by William Shakespeare set in Ancient Britain and based on legends that formed part of the Matter of Britain concerning the early Celtic British King Cunobeline.",What William Shakespeare play did Thomas William Hiddleston appear in at the beginning of his career?,Thomas William Hiddleston appeared in Romeo and Juliet.,yes
"The Ferrers Baronetcy, of Skellingthorpe in the County of Lincoln, was title in the Baronetage of England. It was created on 19 December 1628 for Henry Ferrers.Skellingthorpe is a village and civil parish in the North Kesteven district of Lincolnshire, England.","What viliage in the North Kesteven district of Lincolnshire, England hosts the title Ferrers Baronetcy created in 1628?",The Ferrers Baronetcy was created for a different village.,yes
"Jingming Garden () is an imperial garden on the Jade Spring Hill in Beijing, China, west of the Summer Palace. Mainly dominated by Longevity Hill () and Kunming Lake, it covers an expanse of 2.9 km2 , three-quarters of which is water.",Jingming Garden is an imperial garden on the Jade Spring Hill west of a palace that covers how many kilometers ?,2.9 km2,no
"There Are Rules is the fifth studio album by American rock band The Get Up Kids, the band's first full-length release since 2004's Guilt Show. Formed in 1995, the band was a major player in the mid-1990s emo scene, otherwise known as the """" of emo music.",What are There are rules and the get up kids?,There are rules and The Get Up Kids are one of the biggest emo bands.,yes
" She was hired in April 2010 to replace former head coach Cindy Stein.Cindy Stein (born January 22, 1961) is the current head women's basketball coach at Southern Illinois University Carbondale. She is the former coach of the Missouri Tigers women's basketball team at the University of Missouri from 1998 to 2010 and at Illinois Central College from 2012 to 2013.","At which university is this former head coach of Missouri's women's basketball team, replaced by Robin Pingeton, the current head coach?",Southern Illinois University Carbondale,no
"Ohio Brush Creek rises in southeastern Highland County, and flows generally southwardly into Adams County, past the Serpent Mound, to its confluence at the Ohio River, about 4 mi west of Rome.The Great Serpent Mound is a 1348 ft -long, three-foot-high prehistoric effigy mound on a plateau of the Serpent Mound crater along Ohio Brush Creek in Adams County, Ohio.","Ohio Brush Creek rises in southeastern Highland County, and flows generally southwardly into Adams County, past the 1348 ft -long, three-foot-high prehistoric effigy mound on a plateau of the which crater, along Ohio Brush Creek in Adams County, Ohio?",Crystal Clear Mound.,yes
"George Duran (born George Kevork Guldalian on January 13, 1975) is a Venezuelan born American chef and entertainer who is currently a spokesman in commercials for Hunt's tomatoes.Richard Hrair Dekmejian (born 1933, Aleppo, Syria) is an Armenian American professor of political science at the University of Southern California in Los Angeles.",Is George Duran or Richard Dekmejian older?,George Duran,no
"Aref Durvesh is a celebrated and prolific tabla artist who has recorded and performed with Badmarsh & Shri, Sting, Susheela Raman, Cheb Mami, Jeff Beck, Visionary Underground, and is also one of the longest-serving members of Nitin Sawhneys band, having performed on all of his albums as well as all his UK and international tours.Susheela Raman (Tamil: சுசீலா ராமன் ; born 21 July 1973) is an acclaimed British Indian musician. Raman has released five albums since 2001 and was nominated for the 2006 BBC World Music Awards. Raman's debut album ""Salt Rain"" was nominated for the Mercury Prize in 2001.",What debut album created by a musical artist who has performed with Aref Durvesh was nominated for a Mercury Prize?,"""Salt Rain""",no
" Union forces under Maj. Gen. Nathaniel P. Banks attacked Confederate forces under Maj. Gen. Thomas J. ""Stonewall"" Jackson near Cedar Mountain as the Confederates marched on Culpeper Court House to forestall a Union advance into central Virginia.Nathaniel Prentice (or Prentiss) Banks (January 30, 1816 – September 1, 1894) was an American politician from Massachusetts and a Union general during the Civil War.","The Battle of Cedar Mountain, also known as Slaughter's Mountain or Cedar Run, took place on August 9, 1862, in Culpeper County, Virginia, as part of the American Civil War, Union forces under which Maj. Gen., that was an American politician from Massachusetts and a Union general during the Civil War, attacked Confederate forces under Maj. Gen. Thomas J. ""Stonewall"" Jackson near Cedar Mountain?","The Battle of Cedar Mountain took place on August 9, 1862, in Culpeper County, Virginia, as part of the American Civil War, Union forces under Ulysses S. Grant attacked Confederate forces under Maj. Gen. Thomas J. ""Stonewall"" Jackson near Cedar Mountain.",yes
"Hudson Heights is a residential subsection of the Washington Heights area of Upper Manhattan, New York City. Notable complexes include Hudson View Gardens and Castle Village, which were both developed by Dr. Charles V. Paterno, and were designed by George F. Pelham and his son, George F. Pelham, Jr., respectively. It was built in 1938-39 by real estate developer Charles V. Paterno on the 7.5 acre site of what had been the castle that was his residence, and was designed by George F. Pelham, Jr., whose father, George F. Pelham, had designed the nearby Hudson View Gardens.","Who was the developer of an  apartment complex that was built in Hudson Heights, a subsection of the Washington Heights, in 1938-39?",The developer of an apartment complex in Hudson Heights is George F. Pelham.,yes
"She Hangs Brightly is the debut studio album by American dream pop band Mazzy Star.Mazzy Star is an American alternative rock band formed in Santa Monica, California, in 1989 from the group Opal, a collaboration of guitarist David Roback and bassist Kendra Smith.","In what city and state was the band behind ""She Hangs Brightly"" formed?","Los Angeles, California",yes
"Michael Haneke (] ; born 23 March 1942) is an Austrian film director and screenwriter best known for films such as ""Funny Games"" (1997), ""Caché"" (2005), ""The White Ribbon"" (2009) and ""Amour"" (2012).Ralph Philip Thomas MC (10 August 1915 – 17 March 2001) was an English film director, born in Hull, East Riding of Yorkshire.","Who has a wider scope of profession, Michael Haneke or Ralph Thomas?",Michael Haneke,no
" The Wayside is located on the plot where Laura Ingalls Wilder was born on February 7, 1867.Laura Ingalls Wilder ( ; February 7, 1867 – February 10, 1957) was an American writer known for the ""Little House on the Prairie"" series of children's books released from 1932 to 1943 which were based on her childhood in a settler and pioneer family.","The Little House Wayside, is a 3 acre rest area located in Pepin County, Wisconsin, located on the plot where which American writer, known for the ""Little House on the Prairie"" series of children's books, was born?",Laura Ingalls Wilder,no
"Mamprusi (autonym ""Mampruli,"" also ""Mampelle, Ŋmampulli)"" is a Gur language spoken in northern Ghana by the Mamprusi people. The Mamprusi language is spoken in a broad belt across the northern parts of the Northern Region of Ghana, stretching west to east from Yizeesi to Nakpanduri and centred on the towns of Gambaga/Nalerigu and Walewale.Walewale is a small town and the capital of West Mamprusi district in the Northern Region of Ghana. Walewale lies on the main road from Bolgatanga to Tamale, at the junction of the dirt road to the village of Nakpanduri.",The Mamprusi language is spoken in a town that lies on the main road from Bolgatanga to where?,The Mamprusi language is spoken in a town that lies on the main road from Bolgatanga to Ghana.,yes
"Melvin Endsley (30 January 1934 – 16 August 2004) was a musician, singer, and songwriter best known for writing the song ""Singing the Blues"", along with over 400 songs recorded by hundreds of artists since 1956.Stonewall Jackson (born November 6, 1932) is an American country singer, guitarist and musician who achieved his greatest fame during country's ""golden"" honky tonk era in the 1950s and early 1960s.","Melvin Endsley,was a musician, singer, and songwriter best known for writing which song, some of the artists that have recorded his songs include Stonewall Jackson, an American country singer, guitarist and musician who achieved his greatest fame during country's ""golden"" honky tonk era in the 1950s and early 1960s?",Singing the Blues,no
" In 2012, Del Rey became only the fourth woman to make it to Pro Wrestling Illustrated's list of top 500 wrestlers in the world. ""PWI"" is headquartered in Blue Bell, Pennsylvania and published by Kappa Publishing Group.","Where is the wrestling magazine headquartered that, in 2012 featured Del Rey on its list of top 500 wrestlers in the world?","Blue Bell, Pennsylvania",no
"Emily Haines (born January 25, 1974) is a Canadian singer and songwriter. She is best known as the lead singer, keyboardist and songwriter of the rock band Metric and a member of Broken Social Scene. As a solo artist, she has performed under her own name and under the moniker Emily Haines & The Soft Skeleton. Collins was the lead singer for the 1980s post-punk band Orange Juice, which he co-founded. Following the group's split in 1985, Collins started a solo career.","Which singer was a member of more bands, Emily Haines or Edwyn Collins?",Emily Haines,no
"Adrian Anthony Gill (28 June 1954 – 10 December 2016) was a British writer and critic. Gill wrote his first piece for ""Tatler"" in 1991, and joined ""The Sunday Times"" in 1993.Tatler is a British magazine published by Condé Nast Publications focusing on fashion and lifestyle, as well as coverage of high society and politics. It was founded in 1901 by Clement Shorter.",Adrian Anthony Gill wrote his first peice of a British magazine founded in what year?,Adrian Anthony Gill wrote his first piece for a British magazine that was founded in the 1800s.,yes
"""Tina in the Sky with Diamonds"" is the second episode of the fifth season of the American musical television series ""Glee"", and the ninetieth episode overall. It features the prom, Tina Cohen-Chang (Jenna Ushkowitz) runs for prom queen, the crush of Sam Evans (Chord Overstreet) on new school nurse (Phoebe Strole), the new romance between Santana Lopez (Naya Rivera) and Dani (Demi Lovato), and a surprising news for Rachel Berry (Lea Michele) about ""Funny Girl"". She also played the role of Hillary Winston on ""The Royal Family"" at the age of 4, for which she received a Young Artist Award nomination.","What actress played the role of Hillary Winston on ""The Royal Family"" at the age of 4 and was also in the Tina in the Sky with Diamonds episode of Glee?",Naya Rivera,no
" His most notable athlete is Mebrahtom Keflezighi, the 2004 Olympic Silver medalist in the Marathon, an accomplishment that ended a 20-year drought in United States distance running medals at the Olympic level (28 years for male athletes).Mebrahtom ""Meb"" Keflezighi ( ; Ge'ez: መብራህቶም ክፍልእዝጊ, ""Mebrāhtōm Kifl'izgī""; born May 5, 1975) is an Eritrean-born American long distance runner. He is the 2004 Olympic silver medalist in the marathon and finished in fourth place in the 2012 Summer Olympics.",What medal did this Eritrean-born American long distance runner who was coached by Bob Larsen win during the 2004 Olympics?,silver,no
" It has a capacity of 6,900 spectators and opened in 1950. Founded on 3 May 1927 it plays in Segunda División B – Group 2, holding home matches at ""Estadio Municipal de Anduva"".",How many spectators does the stadium that hosts a football team founded in 1927 hold?,"6,900",no
"Charles Matthew Hunnam (born 10 April 1980) is an English actor. He is known for his roles as Jackson ""Jax"" Teller in the FX drama series ""Sons of Anarchy"" (2008–14), Nathan Maloney in the Channel 4 drama ""Queer as Folk"" (1999–2000), Lloyd Haythe in the Fox comedy series ""Undeclared"" (2001–02), the title role in ""Nicholas Nickleby"" (2002), Pete Dunham in ""Green Street"" (2005), Raleigh Becket in ""Pacific Rim"" (2013), Percy Fawcett in ""The Lost City of Z"" (2017), and in the title role of Guy Ritchie's """" (2017).Nicholas Nickleby is a 2002 British-American drama film written and directed by Douglas McGrath.",Which 2002 British-American drama film directed by Douglas McGrath featured actor Charles Matthew Hunnam?,The hunk movie.,yes
"The Scherzo No. 2 in B-flat minor, Op. 31 is a scherzo by Frédéric Chopin.Frédéric François Chopin ( ; ] ; born Fryderyk Franciszek Chopin, 1 March 181017 October 1849) was a Polish composer and virtuoso pianist of the Romantic era who wrote primarily for the solo piano.",What was the nationality of the writer of Scherzo No. 2?,Polish,no
"Vulca was an Etruscan artist from the town of Veii.Lucius Tarquinius Superbus (died 495 BC) was the legendary seventh and final king of Rome, reigning from 535 BC until the popular uprising in 509 that led to the establishment of the Roman Republic.",Who was the etruscan artist that worked for the last of the Roman Kings that reigned during 535 BC?,Vulca,no
" His most commercially successful track is his version of the Cat Stevens song ""The First Cut Is the Deepest"".""The First Cut Is the Deepest"" is a 1967 song written by Cat Stevens, originally released by P. P. Arnold in May 1967.",Papa Dee's most commercially successful track is his version of a Cat Stevens song released in which year ?,1967,no
"James Thomas Tully (1877 – 15 October 1962) was an Australian politician. In 1919, he unsuccessfully contested the federal seat of New England for the Australian Labor Party.The Division of New England is an Australian electoral division in the state of New South Wales. It is named after the New England region in northern New South Wales.","What region is the division which was one of the original 75 divisions to be contested at the first federal election, in which James Tully unsuccessfully contested for a federal seat in 1919, in?",New England region,no
"Moulton Windmill in the Lincolnshire village of Moulton, between Spalding and Holbeach is a restored windmill claimed to be the tallest tower mill in the United Kingdom.Moulton is a village and civil parish in the South Holland district of Lincolnshire, England.",What country is the Moulton Windmill located?,Moulton Windmill is located in Scotland.,yes
"Luca Giuseppe ""Luke"" Pasqualino (born 19 February 1990) is a British actor, known for his portrayal of Freddie McClair in the television series ""Skins"" and d'Artagnan in the television series ""The Musketeers"". In 2016, he played Elvis Harte in the hit BBC show ""Our Girl"".Our Girl is a British television drama, which starred Lacey Turner as Molly Dawes (in its first series) a young adult from a lower class background who joins the British Army after deciding her life is going nowhere. A one-off special was broadcast on 24 March 2013 on BBC One, which saw Dawes make the decision to join the army, despite the protests of her protective family.","Who first acted in the hit BBC show ""Our GIRL"": Luke Pasqualino or Lacey Turner?","Luke Pasqualino first acted in ""Our GIRL"".",yes
